               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.032653,            0.053036,           0.0012521,             0.95982,             0.96191,             0.98792,             0.55615,            0.021338,            0.031396,          0.00066471,            0.002278,            0.002278,            0.002278
                  80,            0.033204,            0.064768,           0.0012906,             0.93951,             0.97638,             0.98833,             0.52133,            0.023125,            0.031188,          0.00063229,            0.002179,            0.002179,            0.002179
                  81,            0.033278,            0.055139,           0.0013576,             0.94191,             0.97501,             0.98979,             0.56849,            0.021297,            0.030884,          0.00064354,             0.00208,             0.00208,             0.00208
                  82,            0.034134,            0.060702,           0.0012621,             0.92909,                   1,             0.98633,             0.55657,            0.022314,            0.031733,          0.00065155,            0.001981,            0.001981,            0.001981
                  83,            0.032693,            0.052698,           0.0012907,             0.93439,             0.96724,             0.98833,             0.57266,            0.021066,            0.031058,          0.00064049,            0.001882,            0.001882,            0.001882
                  84,            0.030583,            0.052454,          0.00098068,             0.93312,             0.94458,             0.98833,             0.55733,            0.021862,            0.031801,           0.0006443,            0.001783,            0.001783,            0.001783
                  85,            0.031016,            0.055334,           0.0011579,             0.92435,                   1,             0.98833,              0.5549,            0.021374,             0.03213,          0.00064201,            0.001684,            0.001684,            0.001684
                  86,            0.031624,            0.053651,           0.0011297,             0.92441,                   1,             0.98833,             0.53492,            0.022545,            0.032377,          0.00063038,            0.001585,            0.001585,            0.001585
                  87,            0.032025,            0.057524,            0.001343,             0.92827,                   1,             0.98633,             0.55123,            0.021341,            0.031862,          0.00061264,            0.001486,            0.001486,            0.001486
                  88,            0.030791,            0.057122,           0.0011979,             0.92791,                   1,               0.985,             0.52536,            0.022802,            0.032183,          0.00059414,            0.001387,            0.001387,            0.001387
                  89,            0.031465,             0.05242,           0.0012428,             0.92852,                   1,               0.985,             0.55688,            0.021319,            0.032193,          0.00059929,            0.001288,            0.001288,            0.001288
                  90,            0.031598,            0.057567,           0.0011682,             0.92593,                   1,               0.984,             0.53095,            0.022328,            0.033414,          0.00061092,            0.001189,            0.001189,            0.001189
                  91,            0.029982,            0.054226,           0.0011825,              0.9265,                   1,               0.984,             0.53262,            0.021405,            0.032959,          0.00060387,             0.00109,             0.00109,             0.00109
                  92,            0.030301,            0.051833,           0.0010663,             0.92652,                   1,               0.984,             0.54944,            0.021032,            0.033004,          0.00059929,            0.000991,            0.000991,            0.000991
                  93,            0.029475,            0.053844,          0.00098906,             0.92965,              0.9922,             0.98633,             0.56149,             0.02078,            0.032324,          0.00056839,            0.000892,            0.000892,            0.000892
                  94,            0.029419,            0.051148,          0.00099166,             0.92564,             0.98501,             0.98633,             0.56514,            0.020841,            0.032155,          0.00055351,            0.000793,            0.000793,            0.000793
                  95,            0.029802,            0.055455,           0.0010618,             0.92322,              0.9819,             0.98633,             0.55601,            0.020856,             0.03192,          0.00053673,            0.000694,            0.000694,            0.000694
                  96,             0.03057,            0.048035,           0.0015593,             0.91814,             0.97696,             0.98633,             0.55695,            0.021121,            0.031972,          0.00052872,            0.000595,            0.000595,            0.000595
                  97,            0.028108,             0.05308,          0.00099675,             0.92011,             0.98349,             0.98633,             0.56339,            0.021073,            0.032058,          0.00052223,            0.000496,            0.000496,            0.000496
                  98,            0.029431,            0.054712,           0.0010165,             0.92337,              0.9968,             0.98633,             0.55257,            0.021209,            0.032175,          0.00051785,            0.000397,            0.000397,            0.000397
                  99,            0.029597,            0.056473,           0.0012669,             0.92387,             0.99866,             0.98633,             0.54993,            0.021396,            0.032459,          0.00051727,            0.000298,            0.000298,            0.000298
